,Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
0,3.35,5.59,27000,0,6,0,1,0,1
1,4.75,9.54,43000,0,7,1,0,0,1
2,7.25,9.85,6900,0,3,0,1,0,1
3,2.85,4.15,5200,0,9,0,1,0,1
4,4.6,6.87,42450,0,6,1,0,0,1
5,9.25,9.83,2071,0,2,1,0,0,1
6,6.75,8.12,18796,0,5,0,1,0,1
7,6.5,8.61,33429,0,5,1,0,0,1
8,8.75,8.89,20273,0,4,1,0,0,1
9,7.45,8.92,42367,0,5,1,0,0,1
10,2.85,3.6,2135,0,3,0,1,0,1
11,6.85,10.38,51000,0,5,1,0,0,1
12,7.5,9.94,15000,0,5,0,1,0,0
13,6.1,7.71,26000,0,5,0,1,0,1
14,2.25,7.21,77427,0,11,0,1,0,1
15,7.75,10.79,43000,0,4,1,0,0,1
16,7.25,10.79,41678,0,5,1,0,0,1
17,7.75,10.79,43000,0,4,1,0,0,1
18,3.25,5.09,35500,0,5,0,0,0,1
19,2.65,7.98,41442,0,10,0,1,0,1
20,2.85,3.95,25000,0,4,0,1,0,1
21,4.9,5.71,2400,0,3,0,1,0,1
22,4.4,8.01,50000,0,9,0,1,0,0
23,2.5,3.46,45280,0,6,0,1,0,1
24,2.9,4.41,56879,0,7,0,1,0,1
25,3.0,4.99,20000,0,9,0,1,0,1
26,4.15,5.87,55138,0,7,0,1,0,1
27,6.0,6.49,16200,0,3,0,1,1,1
28,1.95,3.95,44542,0,10,0,1,0,1
29,7.45,10.38,45000,0,5,1,0,0,1
30,3.1,5.98,51439,0,8,1,0,0,1
31,2.35,4.89,54200,0,9,0,1,0,1
32,4.95,7.49,39000,0,6,1,0,0,1
33,6.0,9.95,45000,0,6,1,0,0,1
34,5.5,8.06,45000,0,6,1,0,0,1
35,2.95,7.74,49998,0,9,0,0,0,1
36,4.65,7.2,48767,0,5,0,1,0,1
37,0.35,2.28,127000,0,17,0,1,1,1
38,3.0,3.76,10079,0,4,0,1,0,1
39,2.25,7.98,62000,0,17,0,1,0,1
40,5.85,7.87,24524,0,4,0,1,0,0
41,2.55,3.98,46706,0,6,0,1,0,1
42,1.95,7.15,58000,0,12,0,1,0,1
43,5.5,8.06,45780,0,6,1,0,0,1
44,1.25,2.69,50000,0,8,0,1,0,1
45,7.5,12.04,15000,0,6,0,1,0,0
46,2.65,4.89,64532,0,7,0,1,0,1
47,1.05,4.15,65000,0,14,0,1,0,1
48,5.8,7.71,25870,0,5,0,1,0,1
49,7.75,9.29,37000,0,3,0,1,0,0
50,14.9,30.61,104707,0,8,1,0,0,0
51,23.0,30.61,40000,0,5,1,0,0,0
52,18.0,19.77,15000,0,3,1,0,0,0
53,16.0,30.61,135000,0,7,1,0,1,0
54,2.75,10.21,90000,0,15,0,1,1,1
55,3.6,15.04,70000,0,11,0,1,0,0
56,4.5,7.27,40534,0,5,0,1,0,1
57,4.75,18.54,50000,0,10,0,1,0,1
